ID,State,City,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Description,Street,End_lat,End_Lng,Distance(mi),Temperature(F),Test
A-512230,IL,Bartlett,1,2022-09-08 05:49:30,2022-09-08 06:34:53,41.946796,-88.208092,Crash on CR-11 Army Trail Rd at IL-59.,Army Trail Rd,,,0.0,58.0,RandomText1
A-512231,CA,Littlerock,1,2022-09-08 02:02:05,2022-09-08 04:31:32,34.521172,-117.958076,Crash on CA-138 Pearblossom Hwy at 96th St.,Pearblossom Hwy,,,0.0,86.0,RandomText2
A-512232,VA,Richmond,1,2022-09-08 05:14:12,2022-09-08 07:38:17,37.542839,-77.441780,Crash on 2nd St Northbound at Franklin St.,N 2nd St,,,0.0,68.0,RandomText3
A-512233,OH,Alliance,1,2022-09-08 06:22:57,2022-09-08 06:52:42,40.896629,-81.178452,Crash on US-62 Atlantic Blvd Westbound after OH-173 State St.,Atlantic Blvd NE,,,0.0,62.0,RandomText4
A-512234,TX,Dallas,2,2021-07-07 03:15:20,2021-07-07 03:50:43,32.7767,-96.797,Crash on I-35 Southbound near Market Center Blvd.,I-35 S,,,0.0,72.0,RandomText5
A-512235,CA,Sacramento,2,2023-05-12 08:10:12,2023-05-12 08:45:27,38.5816,-121.4944,Accident on J St and 5th St.,J St,,,0.0,88.0,RandomText6
A-512236,WA,Seattle,3,2022-11-20 10:30:00,2022-11-20 11:15:00,47.6062,-122.3321,Collision on I-5 Northbound near Madison St.,I-5 N,,,0.0,55.0,RandomText7
A-512237,NY,New York,1,2020-01-10 06:50:30,2020-01-10 07:25:53,40.7128,-74.006,Incident on FDR Dr Northbound at E 96 St.,FDR Dr N,,,0.0,40.0,RandomText8
A-512238,FL,Orlando,2,2022-02-28 13:00:00,2022-02-28 14:00:00,28.5383,-81.3792,Crash on I-4 Westbound near Exit 83.,I-4 W,,,0.0,78.0,RandomText9
A-512239,GA,Atlanta,1,2023-03-15 09:00:30,2023-03-15 09:45:30,33.749,-84.388,Crash on Peachtree St near 14th St.,Peachtree St,,,0.0,65.0,RandomText10
