EventId,State,City,StartTime(UTC),EndTime(UTC),Severity,Type,LocationLat,LocationLng,Precipitation(in),Test
W-2229,CO,Saguache,2022-01-01 12:34:00,2022-01-01 15:54:00,Light,Snow,38.0972,-106.1689,0.0,RandomTextA
W-2230,CO,Saguache,2022-01-01 16:15:00,2022-01-01 17:14:00,Light,Snow,38.0972,-106.1689,0.0,RandomTextB
W-2231,CO,Saguache,2022-01-06 06:54:00,2022-01-06 07:34:00,Severe,Storm,38.0972,-106.1689,0.0,RandomTextC
W-2232,CO,Saguache,2022-01-08 21:14:00,2022-01-08 21:54:00,Light,Snow,38.0972,-106.1689,0.0,RandomTextD
W-2233,CO,Saguache,2022-01-21 21:15:00,2022-01-21 22:55:00,Light,Snow,38.0972,-106.1689,0.0,RandomTextE
W-2234,FL,Miami,2023-08-12 14:10:00,2023-08-12 15:00:00,Moderate,Rain,25.7617,-80.1918,0.1,RandomTextF
W-2235,TX,Dallas,2022-09-08 18:45:00,2022-09-08 20:00:00,Severe,Storm,32.7767,-96.797,0.2,RandomTextG
W-2236,NY,New York,2021-07-20 10:00:00,2021-07-20 11:30:00,Light,Rain,40.7128,-74.006,0.0,RandomTextH
W-2237,CA,Los Angeles,2022-02-15 22:10:00,2022-02-16 00:00:00,Heavy,Rain,34.0522,-118.2437,0.5,RandomTextI
W-2238,WA,Seattle,2020-03-25 03:10:00,2020-03-25 04:10:00,Light,Snow,47.6062,-122.3321,0.0,RandomTextJ
